@relation 'AirQualityUCI all numeric - custer-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.attribute.Discretize-B12-M-1.0-R1-weka.filters.unsupervised.attribute.Discretize-O-B30-M-1.0-R3-last'

@attribute Date {'\'(-inf-1.916667]\'','\'(1.916667-2.833333]\'','\'(2.833333-3.75]\'','\'(3.75-4.666667]\'','\'(4.666667-5.583333]\'','\'(5.583333-6.5]\'','\'(6.5-7.416667]\'','\'(7.416667-8.333333]\'','\'(8.333333-9.25]\'','\'(9.25-10.166667]\'','\'(10.166667-11.083333]\'','\'(11.083333-inf)\''}
@attribute Time numeric
@attribute CO(GT) {'\'(-inf-0.493333]\'','\'(0.493333-0.886667]\'','\'(0.886667-1.28]\'','\'(1.28-1.673333]\'','\'(1.673333-2.066667]\'','\'(2.066667-2.46]\'','\'(2.46-2.853333]\'','\'(2.853333-3.246667]\'','\'(3.246667-3.64]\'','\'(3.64-4.033333]\'','\'(4.033333-4.426667]\'','\'(4.426667-4.82]\'','\'(4.82-inf)\''}
@attribute PT08S1(CO) {'\'(-inf-693.433333]\'','\'(693.433333-739.866667]\'','\'(739.866667-786.3]\'','\'(786.3-832.733333]\'','\'(832.733333-879.166667]\'','\'(879.166667-925.6]\'','\'(925.6-972.033333]\'','\'(972.033333-1018.466667]\'','\'(1018.466667-1064.9]\'','\'(1064.9-1111.333333]\'','\'(1111.333333-1157.766667]\'','\'(1157.766667-1204.2]\'','\'(1204.2-1250.633333]\'','\'(1250.633333-1297.066667]\'','\'(1297.066667-1343.5]\'','\'(1343.5-1389.933333]\'','\'(1389.933333-1436.366667]\'','\'(1436.366667-1482.8]\'','\'(1482.8-1529.233333]\'','\'(1529.233333-1575.666667]\'','\'(1575.666667-1622.1]\'','\'(1622.1-1668.533333]\'','\'(1668.533333-1714.966667]\'','\'(1714.966667-1761.4]\'','\'(1761.4-1807.833333]\'','\'(1807.833333-1854.266667]\'','\'(1854.266667-inf)\''}
@attribute NMHC(GT) {'\'(-inf-46.4]\'','\'(46.4-85.8]\'','\'(85.8-125.2]\'','\'(125.2-164.6]\'','\'(164.6-204]\'','\'(204-243.4]\'','\'(243.4-282.8]\'','\'(282.8-322.2]\'','\'(322.2-361.6]\'','\'(361.6-401]\'','\'(401-440.4]\'','\'(440.4-479.8]\'','\'(479.8-inf)\''}
@attribute C6H6(GT) {'\'(-inf-2.22]\'','\'(2.22-4.34]\'','\'(4.34-6.46]\'','\'(6.46-8.58]\'','\'(8.58-inf)\''}
@attribute PT08S2(NMHC) {'\'(-inf-444.033333]\'','\'(444.033333-505.066667]\'','\'(505.066667-566.1]\'','\'(566.1-627.133333]\'','\'(627.133333-688.166667]\'','\'(688.166667-749.2]\'','\'(749.2-810.233333]\'','\'(810.233333-inf)\''}
@attribute NOx(GT) {'\'(-inf-51.233333]\'','\'(51.233333-100.466667]\'','\'(100.466667-149.7]\'','\'(149.7-198.933333]\'','\'(198.933333-248.166667]\'','\'(248.166667-297.4]\'','\'(297.4-346.633333]\'','\'(346.633333-395.866667]\'','\'(395.866667-445.1]\'','\'(445.1-494.333333]\'','\'(494.333333-543.566667]\'','\'(543.566667-592.8]\'','\'(592.8-642.033333]\'','\'(642.033333-691.266667]\'','\'(691.266667-740.5]\'','\'(740.5-inf)\''}
@attribute PT08S3(NOx) {'\'(-inf-400.7]\'','\'(400.7-479.4]\'','\'(479.4-558.1]\'','\'(558.1-636.8]\'','\'(636.8-715.5]\'','\'(715.5-794.2]\'','\'(794.2-872.9]\'','\'(872.9-951.6]\'','\'(951.6-1030.3]\'','\'(1030.3-1109]\'','\'(1109-1187.7]\'','\'(1187.7-inf)\''}
@attribute NO2(GT) {'\'(-inf-13.266667]\'','\'(13.266667-24.533333]\'','\'(24.533333-35.8]\'','\'(35.8-47.066667]\'','\'(47.066667-58.333333]\'','\'(58.333333-69.6]\'','\'(69.6-80.866667]\'','\'(80.866667-92.133333]\'','\'(92.133333-103.4]\'','\'(103.4-114.666667]\'','\'(114.666667-125.933333]\'','\'(125.933333-137.2]\'','\'(137.2-148.466667]\'','\'(148.466667-159.733333]\'','\'(159.733333-171]\'','\'(171-182.266667]\'','\'(182.266667-193.533333]\'','\'(193.533333-204.8]\'','\'(204.8-216.066667]\'','\'(216.066667-227.333333]\'','\'(227.333333-238.6]\'','\'(238.6-249.866667]\'','\'(249.866667-261.133333]\'','\'(261.133333-272.4]\'','\'(272.4-283.666667]\'','\'(283.666667-294.933333]\'','\'(294.933333-306.2]\'','\'(306.2-317.466667]\'','\'(317.466667-inf)\''}
@attribute PT08S4(NO2) {'\'(-inf-625.133333]\'','\'(625.133333-699.266667]\'','\'(699.266667-773.4]\'','\'(773.4-847.533333]\'','\'(847.533333-921.666667]\'','\'(921.666667-995.8]\'','\'(995.8-1069.933333]\'','\'(1069.933333-1144.066667]\'','\'(1144.066667-1218.2]\'','\'(1218.2-1292.333333]\'','\'(1292.333333-1366.466667]\'','\'(1366.466667-1440.6]\'','\'(1440.6-1514.733333]\'','\'(1514.733333-1588.866667]\'','\'(1588.866667-1663]\'','\'(1663-1737.133333]\'','\'(1737.133333-1811.266667]\'','\'(1811.266667-1885.4]\'','\'(1885.4-1959.533333]\'','\'(1959.533333-2033.666667]\'','\'(2033.666667-2107.8]\'','\'(2107.8-2181.933333]\'','\'(2181.933333-2256.066667]\'','\'(2256.066667-2330.2]\'','\'(2330.2-2404.333333]\'','\'(2404.333333-2478.466667]\'','\'(2478.466667-inf)\''}
@attribute PT08S5(O3) {'\'(-inf-297.733333]\'','\'(297.733333-374.466667]\'','\'(374.466667-451.2]\'','\'(451.2-527.933333]\'','\'(527.933333-604.666667]\'','\'(604.666667-681.4]\'','\'(681.4-758.133333]\'','\'(758.133333-834.866667]\'','\'(834.866667-911.6]\'','\'(911.6-988.333333]\'','\'(988.333333-1065.066667]\'','\'(1065.066667-1141.8]\'','\'(1141.8-1218.533333]\'','\'(1218.533333-1295.266667]\'','\'(1295.266667-1372]\'','\'(1372-1448.733333]\'','\'(1448.733333-1525.466667]\'','\'(1525.466667-1602.2]\'','\'(1602.2-1678.933333]\'','\'(1678.933333-1755.666667]\'','\'(1755.666667-1832.4]\'','\'(1832.4-1909.133333]\'','\'(1909.133333-1985.866667]\'','\'(1985.866667-2062.6]\'','\'(2062.6-2139.333333]\'','\'(2139.333333-2216.066667]\'','\'(2216.066667-2292.8]\'','\'(2292.8-2369.533333]\'','\'(2369.533333-inf)\''}
@attribute T {'\'(-inf--0.35]\'','\'(-0.35-1.2]\'','\'(1.2-2.75]\'','\'(2.75-4.3]\'','\'(4.3-5.85]\'','\'(5.85-7.4]\'','\'(7.4-8.95]\'','\'(8.95-10.5]\'','\'(10.5-12.05]\'','\'(12.05-13.6]\'','\'(13.6-15.15]\'','\'(15.15-16.7]\'','\'(16.7-18.25]\'','\'(18.25-19.8]\'','\'(19.8-21.35]\'','\'(21.35-22.9]\'','\'(22.9-24.45]\'','\'(24.45-26]\'','\'(26-27.55]\'','\'(27.55-29.1]\'','\'(29.1-30.65]\'','\'(30.65-32.2]\'','\'(32.2-33.75]\'','\'(33.75-35.3]\'','\'(35.3-36.85]\'','\'(36.85-38.4]\'','\'(38.4-39.95]\'','\'(39.95-inf)\''}
@attribute RH {'\'(-inf-11.85]\'','\'(11.85-14.5]\'','\'(14.5-17.15]\'','\'(17.15-19.8]\'','\'(19.8-22.45]\'','\'(22.45-25.1]\'','\'(25.1-27.75]\'','\'(27.75-30.4]\'','\'(30.4-33.05]\'','\'(33.05-35.7]\'','\'(35.7-38.35]\'','\'(38.35-41]\'','\'(41-43.65]\'','\'(43.65-46.3]\'','\'(46.3-48.95]\'','\'(48.95-51.6]\'','\'(51.6-54.25]\'','\'(54.25-56.9]\'','\'(56.9-59.55]\'','\'(59.55-62.2]\'','\'(62.2-64.85]\'','\'(64.85-67.5]\'','\'(67.5-70.15]\'','\'(70.15-72.8]\'','\'(72.8-75.45]\'','\'(75.45-78.1]\'','\'(78.1-inf)\''}
@attribute AH numeric

@data
'\'(-inf-1.916667]\'',1,?,'\'(1064.9-1111.333333]\'',?,'\'(6.46-8.58]\'','\'(810.233333-inf)\'','\'(297.4-346.633333]\'','\'(715.5-794.2]\'','\'(171-182.266667]\'','\'(921.666667-995.8]\'','\'(1218.533333-1295.266667]\'','\'(5.85-7.4]\'','\'(38.35-41]\'',0.4
'\'(-inf-1.916667]\'',2,?,'\'(1018.466667-1064.9]\'',?,'\'(6.46-8.58]\'','\'(810.233333-inf)\'','\'(198.933333-248.166667]\'','\'(715.5-794.2]\'','\'(148.466667-159.733333]\'','\'(921.666667-995.8]\'','\'(1141.8-1218.533333]\'','\'(4.3-5.85]\'','\'(43.65-46.3]\'',0.41
'\'(-inf-1.916667]\'',3,?,'\'(972.033333-1018.466667]\'',?,'\'(4.34-6.46]\'','\'(749.2-810.233333]\'',?,'\'(794.2-872.9]\'',?,'\'(921.666667-995.8]\'','\'(988.333333-1065.066667]\'','\'(4.3-5.85]\'','\'(46.3-48.95]\'',0.4
'\'(-inf-1.916667]\'',4,?,'\'(925.6-972.033333]\'',?,'\'(4.34-6.46]\'','\'(749.2-810.233333]\'','\'(198.933333-248.166667]\'','\'(794.2-872.9]\'','\'(137.2-148.466667]\'','\'(921.666667-995.8]\'','\'(988.333333-1065.066667]\'','\'(2.75-4.3]\'','\'(48.95-51.6]\'',0.42
'\'(-inf-1.916667]\'',5,?,'\'(832.733333-879.166667]\'',?,'\'(2.22-4.34]\'','\'(566.1-627.133333]\'','\'(51.233333-100.466667]\'','\'(1030.3-1109]\'','\'(69.6-80.866667]\'','\'(773.4-847.533333]\'','\'(681.4-758.133333]\'','\'(4.3-5.85]\'','\'(43.65-46.3]\'',0.39
'\'(-inf-1.916667]\'',6,?,'\'(832.733333-879.166667]\'',?,'\'(-inf-2.22]\'','\'(566.1-627.133333]\'','\'(51.233333-100.466667]\'','\'(1109-1187.7]\'','\'(69.6-80.866667]\'','\'(773.4-847.533333]\'','\'(681.4-758.133333]\'','\'(1.2-2.75]\'','\'(51.6-54.25]\'',0.4
'\'(-inf-1.916667]\'',7,?,'\'(832.733333-879.166667]\'',?,'\'(-inf-2.22]\'','\'(505.066667-566.1]\'','\'(51.233333-100.466667]\'','\'(1109-1187.7]\'','\'(69.6-80.866667]\'','\'(773.4-847.533333]\'','\'(681.4-758.133333]\'','\'(2.75-4.3]\'','\'(48.95-51.6]\'',0.39
'\'(-inf-1.916667]\'',8,?,'\'(832.733333-879.166667]\'',?,'\'(-inf-2.22]\'','\'(566.1-627.133333]\'','\'(100.466667-149.7]\'','\'(1109-1187.7]\'','\'(92.133333-103.4]\'','\'(773.4-847.533333]\'','\'(758.133333-834.866667]\'','\'(1.2-2.75]\'','\'(51.6-54.25]\'',0.4
'\'(-inf-1.916667]\'',9,?,'\'(925.6-972.033333]\'',?,'\'(4.34-6.46]\'','\'(688.166667-749.2]\'','\'(149.7-198.933333]\'','\'(872.9-951.6]\'','\'(114.666667-125.933333]\'','\'(921.666667-995.8]\'','\'(911.6-988.333333]\'','\'(2.75-4.3]\'','\'(51.6-54.25]\'',0.41
'\'(-inf-1.916667]\'',10,?,'\'(1018.466667-1064.9]\'',?,'\'(4.34-6.46]\'','\'(810.233333-inf)\'','\'(248.166667-297.4]\'','\'(715.5-794.2]\'','\'(159.733333-171]\'','\'(921.666667-995.8]\'','\'(1065.066667-1141.8]\'','\'(4.3-5.85]\'','\'(46.3-48.95]\'',0.42
'\'(-inf-1.916667]\'',11,?,'\'(1064.9-1111.333333]\'',?,'\'(6.46-8.58]\'','\'(810.233333-inf)\'','\'(297.4-346.633333]\'','\'(715.5-794.2]\'','\'(171-182.266667]\'','\'(995.8-1069.933333]\'','\'(1065.066667-1141.8]\'','\'(4.3-5.85]\'','\'(41-43.65]\'',0.4
'\'(-inf-1.916667]\'',12,?,'\'(1111.333333-1157.766667]\'',?,'\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(395.866667-445.1]\'','\'(715.5-794.2]\'','\'(204.8-216.066667]\'','\'(995.8-1069.933333]\'','\'(1218.533333-1295.266667]\'','\'(5.85-7.4]\'','\'(41-43.65]\'',0.43
'\'(-inf-1.916667]\'',13,?,'\'(1157.766667-1204.2]\'',?,'\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(346.633333-395.866667]\'','\'(636.8-715.5]\'','\'(182.266667-193.533333]\'','\'(1069.933333-1144.066667]\'','\'(1218.533333-1295.266667]\'','\'(7.4-8.95]\'','\'(41-43.65]\'',0.45
'\'(-inf-1.916667]\'',14,?,'\'(1064.9-1111.333333]\'',?,'\'(6.46-8.58]\'','\'(810.233333-inf)\'','\'(297.4-346.633333]\'','\'(715.5-794.2]\'','\'(171-182.266667]\'','\'(995.8-1069.933333]\'','\'(1218.533333-1295.266667]\'','\'(7.4-8.95]\'','\'(41-43.65]\'',0.45
'\'(-inf-1.916667]\'',15,?,'\'(1111.333333-1157.766667]\'',?,'\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(297.4-346.633333]\'','\'(636.8-715.5]\'','\'(159.733333-171]\'','\'(1069.933333-1144.066667]\'','\'(1295.266667-1372]\'','\'(7.4-8.95]\'','\'(41-43.65]\'',0.45
'\'(-inf-1.916667]\'',16,?,'\'(1064.9-1111.333333]\'',?,'\'(6.46-8.58]\'','\'(810.233333-inf)\'','\'(248.166667-297.4]\'','\'(715.5-794.2]\'','\'(171-182.266667]\'','\'(1069.933333-1144.066667]\'','\'(988.333333-1065.066667]\'','\'(7.4-8.95]\'','\'(48.95-51.6]\'',0.56
'\'(-inf-1.916667]\'',17,?,'\'(1018.466667-1064.9]\'',?,'\'(2.22-4.34]\'','\'(688.166667-749.2]\'','\'(149.7-198.933333]\'','\'(872.9-951.6]\'','\'(114.666667-125.933333]\'','\'(995.8-1069.933333]\'','\'(758.133333-834.866667]\'','\'(5.85-7.4]\'','\'(64.85-67.5]\'',0.67
'\'(-inf-1.916667]\'',18,?,'\'(1064.9-1111.333333]\'',?,'\'(2.22-4.34]\'','\'(688.166667-749.2]\'','\'(149.7-198.933333]\'','\'(794.2-872.9]\'','\'(125.933333-137.2]\'','\'(995.8-1069.933333]\'','\'(834.866667-911.6]\'','\'(4.3-5.85]\'','\'(72.8-75.45]\'',0.69
'\'(-inf-1.916667]\'',19,?,'\'(1157.766667-1204.2]\'',?,'\'(6.46-8.58]\'','\'(810.233333-inf)\'','\'(198.933333-248.166667]\'','\'(715.5-794.2]\'','\'(137.2-148.466667]\'','\'(1144.066667-1218.2]\'','\'(911.6-988.333333]\'','\'(4.3-5.85]\'','\'(75.45-78.1]\'',0.7
'\'(-inf-1.916667]\'',20,?,'\'(1157.766667-1204.2]\'',?,'\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(198.933333-248.166667]\'','\'(636.8-715.5]\'','\'(148.466667-159.733333]\'','\'(1218.2-1292.333333]\'','\'(988.333333-1065.066667]\'','\'(4.3-5.85]\'','\'(78.1-inf)\'',0.71
'\'(-inf-1.916667]\'',21,?,'\'(1064.9-1111.333333]\'',?,'\'(4.34-6.46]\'','\'(688.166667-749.2]\'','\'(149.7-198.933333]\'','\'(794.2-872.9]\'','\'(114.666667-125.933333]\'','\'(995.8-1069.933333]\'','\'(834.866667-911.6]\'','\'(5.85-7.4]\'','\'(67.5-70.15]\'',0.7
'\'(-inf-1.916667]\'',22,?,'\'(1018.466667-1064.9]\'',?,'\'(2.22-4.34]\'','\'(627.133333-688.166667]\'','\'(100.466667-149.7]\'','\'(872.9-951.6]\'','\'(103.4-114.666667]\'','\'(995.8-1069.933333]\'','\'(834.866667-911.6]\'','\'(4.3-5.85]\'','\'(72.8-75.45]\'',0.69
'\'(-inf-1.916667]\'',23,?,'\'(1064.9-1111.333333]\'',?,'\'(4.34-6.46]\'','\'(749.2-810.233333]\'','\'(198.933333-248.166667]\'','\'(794.2-872.9]\'','\'(125.933333-137.2]\'','\'(1069.933333-1144.066667]\'','\'(911.6-988.333333]\'','\'(5.85-7.4]\'','\'(70.15-72.8]\'',0.69
'\'(-inf-1.916667]\'',0,?,'\'(1064.9-1111.333333]\'',?,'\'(4.34-6.46]\'','\'(688.166667-749.2]\'','\'(100.466667-149.7]\'','\'(794.2-872.9]\'','\'(103.4-114.666667]\'','\'(995.8-1069.933333]\'','\'(834.866667-911.6]\'','\'(5.85-7.4]\'','\'(70.15-72.8]\'',0.68
'\'(-inf-1.916667]\'',1,?,'\'(1064.9-1111.333333]\'',?,'\'(4.34-6.46]\'','\'(810.233333-inf)\'','\'(149.7-198.933333]\'','\'(715.5-794.2]\'','\'(114.666667-125.933333]\'','\'(1069.933333-1144.066667]\'','\'(911.6-988.333333]\'','\'(4.3-5.85]\'','\'(75.45-78.1]\'',0.67
'\'(-inf-1.916667]\'',2,'\'(-inf-0.493333]\'','\'(1111.333333-1157.766667]\'',?,'\'(6.46-8.58]\'','\'(810.233333-inf)\'','\'(198.933333-248.166667]\'','\'(636.8-715.5]\'','\'(125.933333-137.2]\'','\'(1144.066667-1218.2]\'','\'(911.6-988.333333]\'','\'(2.75-4.3]\'','\'(78.1-inf)\'',0.66
'\'(-inf-1.916667]\'',3,?,'\'(879.166667-925.6]\'',?,'\'(-inf-2.22]\'','\'(566.1-627.133333]\'',?,'\'(951.6-1030.3]\'',?,'\'(847.533333-921.666667]\'','\'(604.666667-681.4]\'','\'(4.3-5.85]\'','\'(56.9-59.55]\'',0.55
'\'(-inf-1.916667]\'',4,?,'\'(786.3-832.733333]\'',?,'\'(-inf-2.22]\'','\'(444.033333-505.066667]\'','\'(-inf-51.233333]\'','\'(1187.7-inf)\'','\'(47.066667-58.333333]\'','\'(847.533333-921.666667]\'','\'(374.466667-451.2]\'','\'(4.3-5.85]\'','\'(56.9-59.55]\'',0.55
'\'(-inf-1.916667]\'',5,'\'(-inf-0.493333]\'','\'(786.3-832.733333]\'',?,'\'(-inf-2.22]\'','\'(444.033333-505.066667]\'','\'(-inf-51.233333]\'','\'(1187.7-inf)\'','\'(35.8-47.066667]\'','\'(773.4-847.533333]\'','\'(374.466667-451.2]\'','\'(5.85-7.4]\'','\'(48.95-51.6]\'',0.5
'\'(-inf-1.916667]\'',6,'\'(0.493333-0.886667]\'','\'(832.733333-879.166667]\'',?,'\'(-inf-2.22]\'','\'(505.066667-566.1]\'','\'(51.233333-100.466667]\'','\'(1187.7-inf)\'','\'(58.333333-69.6]\'','\'(773.4-847.533333]\'','\'(451.2-527.933333]\'','\'(5.85-7.4]\'','\'(46.3-48.95]\'',0.47
'\'(-inf-1.916667]\'',7,'\'(0.493333-0.886667]\'','\'(879.166667-925.6]\'',?,'\'(2.22-4.34]\'','\'(627.133333-688.166667]\'','\'(149.7-198.933333]\'','\'(951.6-1030.3]\'','\'(103.4-114.666667]\'','\'(847.533333-921.666667]\'','\'(681.4-758.133333]\'','\'(5.85-7.4]\'','\'(46.3-48.95]\'',0.47
'\'(-inf-1.916667]\'',8,'\'(1.673333-2.066667]\'','\'(1157.766667-1204.2]\'',?,'\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(297.4-346.633333]\'','\'(636.8-715.5]\'','\'(159.733333-171]\'','\'(1144.066667-1218.2]\'','\'(1141.8-1218.533333]\'','\'(5.85-7.4]\'','\'(48.95-51.6]\'',0.51
'\'(-inf-1.916667]\'',9,'\'(1.673333-2.066667]\'','\'(1064.9-1111.333333]\'',?,'\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(346.633333-395.866667]\'','\'(636.8-715.5]\'','\'(193.533333-204.8]\'','\'(1144.066667-1218.2]\'','\'(1065.066667-1141.8]\'','\'(5.85-7.4]\'','\'(51.6-54.25]\'',0.53
'\'(-inf-1.916667]\'',10,'\'(1.28-1.673333]\'','\'(972.033333-1018.466667]\'',?,'\'(4.34-6.46]\'','\'(749.2-810.233333]\'','\'(297.4-346.633333]\'','\'(794.2-872.9]\'','\'(182.266667-193.533333]\'','\'(995.8-1069.933333]\'','\'(911.6-988.333333]\'','\'(7.4-8.95]\'','\'(46.3-48.95]\'',0.52
'\'(-inf-1.916667]\'',11,'\'(0.493333-0.886667]\'','\'(925.6-972.033333]\'',?,'\'(4.34-6.46]\'','\'(749.2-810.233333]\'','\'(198.933333-248.166667]\'','\'(794.2-872.9]\'','\'(148.466667-159.733333]\'','\'(921.666667-995.8]\'','\'(834.866667-911.6]\'','\'(8.95-10.5]\'','\'(38.35-41]\'',0.5
'\'(-inf-1.916667]\'',12,'\'(0.493333-0.886667]\'','\'(925.6-972.033333]\'',?,'\'(4.34-6.46]\'','\'(749.2-810.233333]\'','\'(198.933333-248.166667]\'','\'(794.2-872.9]\'','\'(137.2-148.466667]\'','\'(921.666667-995.8]\'','\'(758.133333-834.866667]\'','\'(10.5-12.05]\'','\'(33.05-35.7]\'',0.49
'\'(-inf-1.916667]\'',13,'\'(0.493333-0.886667]\'','\'(972.033333-1018.466667]\'',?,'\'(4.34-6.46]\'','\'(749.2-810.233333]\'','\'(149.7-198.933333]\'','\'(794.2-872.9]\'','\'(125.933333-137.2]\'','\'(995.8-1069.933333]\'','\'(758.133333-834.866667]\'','\'(10.5-12.05]\'','\'(35.7-38.35]\'',0.48
'\'(-inf-1.916667]\'',14,'\'(0.493333-0.886667]\'','\'(925.6-972.033333]\'',?,'\'(4.34-6.46]\'','\'(749.2-810.233333]\'',?,'\'(794.2-872.9]\'',?,'\'(921.666667-995.8]\'','\'(758.133333-834.866667]\'','\'(10.5-12.05]\'','\'(33.05-35.7]\'',0.46
'\'(-inf-1.916667]\'',15,'\'(0.886667-1.28]\'','\'(1018.466667-1064.9]\'',?,'\'(6.46-8.58]\'','\'(810.233333-inf)\'','\'(248.166667-297.4]\'','\'(715.5-794.2]\'','\'(137.2-148.466667]\'','\'(995.8-1069.933333]\'','\'(834.866667-911.6]\'','\'(10.5-12.05]\'','\'(33.05-35.7]\'',0.43
'\'(-inf-1.916667]\'',16,'\'(1.28-1.673333]\'','\'(972.033333-1018.466667]\'',?,'\'(6.46-8.58]\'','\'(810.233333-inf)\'','\'(248.166667-297.4]\'','\'(715.5-794.2]\'','\'(171-182.266667]\'','\'(921.666667-995.8]\'','\'(911.6-988.333333]\'','\'(10.5-12.05]\'','\'(33.05-35.7]\'',0.44
'\'(-inf-1.916667]\'',17,'\'(0.886667-1.28]\'','\'(972.033333-1018.466667]\'',?,'\'(6.46-8.58]\'','\'(810.233333-inf)\'','\'(248.166667-297.4]\'','\'(715.5-794.2]\'','\'(159.733333-171]\'','\'(995.8-1069.933333]\'','\'(911.6-988.333333]\'','\'(7.4-8.95]\'','\'(35.7-38.35]\'',0.43
'\'(-inf-1.916667]\'',18,'\'(1.28-1.673333]\'','\'(1018.466667-1064.9]\'',?,'\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(297.4-346.633333]\'','\'(636.8-715.5]\'','\'(171-182.266667]\'','\'(1069.933333-1144.066667]\'','\'(988.333333-1065.066667]\'','\'(7.4-8.95]\'','\'(38.35-41]\'',0.42
'\'(-inf-1.916667]\'',19,'\'(1.28-1.673333]\'','\'(972.033333-1018.466667]\'',?,'\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(248.166667-297.4]\'','\'(715.5-794.2]\'','\'(159.733333-171]\'','\'(995.8-1069.933333]\'','\'(911.6-988.333333]\'','\'(5.85-7.4]\'','\'(41-43.65]\'',0.43
'\'(-inf-1.916667]\'',20,'\'(0.886667-1.28]\'','\'(972.033333-1018.466667]\'',?,'\'(6.46-8.58]\'','\'(810.233333-inf)\'','\'(198.933333-248.166667]\'','\'(794.2-872.9]\'','\'(148.466667-159.733333]\'','\'(921.666667-995.8]\'','\'(834.866667-911.6]\'','\'(5.85-7.4]\'','\'(41-43.65]\'',0.43
'\'(-inf-1.916667]\'',21,'\'(-inf-0.493333]\'','\'(832.733333-879.166667]\'',?,'\'(2.22-4.34]\'','\'(688.166667-749.2]\'','\'(100.466667-149.7]\'','\'(951.6-1030.3]\'','\'(103.4-114.666667]\'','\'(847.533333-921.666667]\'','\'(604.666667-681.4]\'','\'(5.85-7.4]\'','\'(41-43.65]\'',0.42
'\'(-inf-1.916667]\'',22,?,'\'(786.3-832.733333]\'',?,'\'(-inf-2.22]\'','\'(505.066667-566.1]\'','\'(51.233333-100.466667]\'','\'(1109-1187.7]\'','\'(69.6-80.866667]\'','\'(773.4-847.533333]\'','\'(451.2-527.933333]\'','\'(5.85-7.4]\'','\'(41-43.65]\'',0.4
'\'(-inf-1.916667]\'',23,?,'\'(786.3-832.733333]\'',?,'\'(-inf-2.22]\'','\'(505.066667-566.1]\'','\'(51.233333-100.466667]\'','\'(1187.7-inf)\'','\'(47.066667-58.333333]\'','\'(773.4-847.533333]\'','\'(374.466667-451.2]\'','\'(5.85-7.4]\'','\'(41-43.65]\'',0.4
'\'(-inf-1.916667]\'',0,?,'\'(739.866667-786.3]\'',?,'\'(-inf-2.22]\'','\'(444.033333-505.066667]\'','\'(51.233333-100.466667]\'','\'(1187.7-inf)\'','\'(47.066667-58.333333]\'','\'(699.266667-773.4]\'','\'(374.466667-451.2]\'','\'(5.85-7.4]\'','\'(41-43.65]\'',0.39
'\'(-inf-1.916667]\'',1,?,'\'(739.866667-786.3]\'',?,'\'(-inf-2.22]\'','\'(444.033333-505.066667]\'','\'(-inf-51.233333]\'','\'(1187.7-inf)\'','\'(35.8-47.066667]\'','\'(699.266667-773.4]\'','\'(297.733333-374.466667]\'','\'(4.3-5.85]\'','\'(41-43.65]\'',0.38
'\'(-inf-1.916667]\'',2,?,'\'(739.866667-786.3]\'',?,'\'(-inf-2.22]\'','\'(-inf-444.033333]\'','\'(-inf-51.233333]\'','\'(1187.7-inf)\'','\'(24.533333-35.8]\'','\'(699.266667-773.4]\'','\'(297.733333-374.466667]\'','\'(4.3-5.85]\'','\'(41-43.65]\'',0.39
'\'(-inf-1.916667]\'',3,?,'\'(739.866667-786.3]\'',?,'\'(-inf-2.22]\'','\'(-inf-444.033333]\'',?,'\'(1187.7-inf)\'',?,'\'(699.266667-773.4]\'','\'(-inf-297.733333]\'','\'(4.3-5.85]\'','\'(51.6-54.25]\'',0.44
'\'(-inf-1.916667]\'',4,?,'\'(739.866667-786.3]\'',?,'\'(-inf-2.22]\'','\'(-inf-444.033333]\'','\'(-inf-51.233333]\'','\'(1187.7-inf)\'','\'(13.266667-24.533333]\'','\'(699.266667-773.4]\'','\'(-inf-297.733333]\'','\'(2.75-4.3]\'','\'(51.6-54.25]\'',0.43
'\'(-inf-1.916667]\'',5,?,'\'(739.866667-786.3]\'',?,'\'(-inf-2.22]\'','\'(-inf-444.033333]\'','\'(-inf-51.233333]\'','\'(1187.7-inf)\'','\'(13.266667-24.533333]\'','\'(699.266667-773.4]\'','\'(-inf-297.733333]\'','\'(2.75-4.3]\'','\'(54.25-56.9]\'',0.45
'\'(-inf-1.916667]\'',6,?,'\'(739.866667-786.3]\'',?,'\'(-inf-2.22]\'','\'(-inf-444.033333]\'','\'(-inf-51.233333]\'','\'(1187.7-inf)\'','\'(24.533333-35.8]\'','\'(773.4-847.533333]\'','\'(-inf-297.733333]\'','\'(2.75-4.3]\'','\'(56.9-59.55]\'',0.46
'\'(-inf-1.916667]\'',7,?,'\'(739.866667-786.3]\'',?,'\'(-inf-2.22]\'','\'(-inf-444.033333]\'','\'(51.233333-100.466667]\'','\'(1187.7-inf)\'','\'(58.333333-69.6]\'','\'(699.266667-773.4]\'','\'(297.733333-374.466667]\'','\'(2.75-4.3]\'','\'(46.3-48.95]\'',0.39
